custid,평균구매가격,구매브랜드종류,코너별구매건,아침구매액,점심구매액,봄구매액,여름구매액,가을구매액,겨울구매액,내점구매율,pred
100001,137560,19,1315,1788280.0,1513160.0,962920.0,1238040.0,687800.0,550240.0,1.562,0.0
103663,65857,5,26123,65857.143,197571.429,65857.143,65857.143,65857.143,395142.857,1.4,0.0
103687,57970,7,26123,57970.0,57970.0,115940.0,289850.0,173910.0,115940.0,1.429,0.0
103685,40140,3,26123,40140.0,200700.0,80280.0,160560.0,40140.0,40140.0,2.5,0.0
103680,71574,15,26123,286294.1,1789338.125,1073602.875,286294.1,715735.25,787308.775,2.0,0.0
103676,170479,12,26123,170478.571,1534307.143,681914.286,852392.857,340957.143,511435.714,1.4,0.0
103673,56837,6,26123,56836.667,341020.0,113673.333,113673.333,227346.667,56836.667,1.2,0.0
103672,227000,1,26123,227000.0,227000.0,454000.0,227000.0,227000.0,227000.0,1.0,0.0
103654,67082,14,26123,67081.818,201245.455,335409.091,737900.0,134163.636,268327.273,1.833,0.0
103692,121535,13,26123,364604.348,1944556.522,1701486.957,243069.565,121534.783,729208.696,3.286,0.0
103650,73000,1,26123,73000.0,73000.0,146000.0,73000.0,73000.0,73000.0,1.0,0.0
103638,123250,1,26123,123250.0,369750.0,493000.0,123250.0,123250.0,123250.0,1.0,0.0
103637,74133,3,26123,74133.333,222400.0,148266.667,148266.667,74133.333,74133.333,1.5,0.0
103628,333999,23,26123,333999.459,7681987.568,3673994.054,1001998.378,2003996.757,5677990.811,3.083,0.0
103624,79142,29,26123,316568.421,1741126.316,395710.526,79142.105,1741126.316,791421.053,1.652,0.0
103609,76331,87,26123,2366245.587,2824228.603,3053220.112,2900559.106,4045516.648,3663864.134,2.106,0.0
103689,50100,3,26123,50100.0,250500.0,50100.0,50100.0,200400.0,50100.0,1.667,0.0
103702,110177,10,26123,110176.923,991592.308,440707.692,440707.692,220353.846,330530.769,1.444,0.0
103606,54874,33,26123,109747.547,2633941.12,932854.147,1152349.24,1042601.693,987727.92,1.829,0.0
103740,60000,1,26123,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,1.0,0.0
103757,65599,9,26123,65599.091,196797.273,131198.182,393594.545,196797.273,65599.091,2.75,0.0
103754,69476,31,26123,347378.81,1389515.238,486330.333,1042136.429,416854.571,972660.667,2.471,0.0
103751,65250,11,26123,65250.0,587250.0,130500.0,391500.0,391500.0,130500.0,2.0,0.0
103747,31000,1,26123,31000.0,31000.0,62000.0,31000.0,31000.0,31000.0,1.0,0.0
103746,70464,10,26123,70464.286,704642.857,352321.429,493250.0,70464.286,140928.571,1.167,0.0
103742,16971,4,26123,16971.429,67885.714,84857.143,16971.429,16971.429,16971.429,1.167,0.0
103728,289748,17,26123,579495.652,4635965.217,2607730.435,1158991.304,2028234.783,869243.478,1.917,0.0
103703,104418,23,26123,208836.75,2297204.25,1879530.75,208836.75,1148602.125,939765.375,1.6,0.0
103724,71804,69,26123,1148859.259,5313474.074,2010503.704,1795092.593,2369522.222,1579681.481,2.571,0.0
103718,143884,9,26123,1151071.515,2877678.788,2158259.091,143883.939,143883.939,2589910.909,2.75,0.0
103712,62054,9,26123,124108.154,682594.846,434378.538,310270.385,62054.077,62054.077,1.625,0.0
103709,166238,13,26123,332475.0,1496137.5,831187.5,166237.5,166237.5,1828612.5,2.667,0.0
103708,71000,1,26123,71000.0,71000.0,142000.0,71000.0,71000.0,71000.0,1.0,0.0
103704,49000,1,26123,49000.0,147000.0,98000.0,49000.0,49000.0,49000.0,1.0,0.0
103608,25000,1,26123,25000.0,25000.0,50000.0,25000.0,25000.0,25000.0,1.0,0.0
103604,134538,10,26123,134537.5,1479912.5,1614450.0,134537.5,134537.5,134537.5,4.0,0.0
103477,239786,10,26123,239785.714,2637642.857,479571.429,239785.714,2877428.571,479571.429,2.8,0.0
103517,127947,10,26123,511789.474,1919210.526,511789.474,1535368.421,383842.105,127947.368,1.727,0.0
103535,76164,10,26123,228492.143,1066296.667,990132.619,228492.143,304656.19,76164.048,1.75,0.0
103531,60000,1,26123,60000.0,60000.0,120000.0,60000.0,60000.0,60000.0,1.0,0.0
103530,73300,4,26123,146600.0,293200.0,219900.0,73300.0,146600.0,73300.0,1.2,0.0
103528,66889,4,26123,66888.889,401333.333,267555.556,66888.889,66888.889,200666.667,1.286,0.0
103527,150429,2,26123,150428.571,752142.857,300857.143,300857.143,300857.143,150428.571,1.4,0.0
103518,1448000,3,26123,1448000.0,4344000.0,2896000.0,1448000.0,1448000.0,4344000.0,1.0,0.0
103512,276532,27,26123,1382658.125,7189822.25,4701037.625,276531.625,3318379.5,2765316.25,2.857,0.0
103539,88067,8,26123,88066.667,440333.333,352266.667,176133.333,88066.667,264200.0,1.286,0.0
103511,65774,6,26123,131548.571,263097.143,65774.286,65774.286,131548.571,197322.857,1.167,0.0
103499,50000,2,26123,50000.0,100000.0,100000.0,50000.0,50000.0,50000.0,1.0,0.0
103498,33733,6,26123,33733.333,101200.0,168666.667,33733.333,33733.333,33733.333,1.2,0.0
103497,196500,2,26123,196500.0,589500.0,393000.0,196500.0,196500.0,196500.0,2.0,0.0
103488,117953,10,26123,1179533.333,2359066.667,1887253.333,117953.333,825673.333,707720.0,2.308,0.0
103487,123400,46,26123,1357394.699,4935980.723,2097791.807,2344590.843,2961588.434,2838188.916,1.93,0.0
103537,88467,11,26123,88466.667,619266.667,176933.333,265400.0,88466.667,796200.0,1.5,0.0
103543,29321,9,26123,29321.25,87963.75,175927.5,29321.25,146606.25,117285.0,1.067,0.0
103603,30286,12,26123,30285.714,333142.857,333142.857,30285.714,30285.714,302857.143,1.5,0.0
103582,58243,11,26123,232971.429,349457.143,116485.714,291214.286,407700.0,58242.857,1.4,0.0
103597,63639,10,26123,254555.556,318194.444,318194.444,318194.444,254555.556,254555.556,1.2,0.0
103596,85667,2,26123,85666.667,257000.0,85666.667,85666.667,85666.667,85666.667,1.0,0.0
103594,60830,18,26123,60830.435,425813.043,547473.913,243321.739,547473.913,60830.435,1.211,0.0
103593,140946,20,26123,140945.833,2677970.833,845675.0,422837.5,1691350.0,422837.5,2.182,0.0
103592,149632,12,26123,299265.0,1795590.0,448897.5,598530.0,897795.0,448897.5,1.333,0.0
103590,83364,13,26123,1500545.455,1000363.636,1500545.455,416818.182,416818.182,1333818.182,1.692,0.0
103579,162889,20,26123,814446.429,1628892.857,1791782.143,488667.857,977335.714,1303114.286,1.474,0.0
103546,307818,40,26123,615635.974,14775263.377,8311085.649,5232905.779,4925087.792,5232905.779,1.571,0.0
103577,108167,17,26123,216333.333,1514333.333,1189833.333,432666.667,108166.667,540833.333,1.5,0.0
103575,389112,12,26123,778224.286,1556448.571,389112.143,389112.143,1945560.714,3112897.143,2.333,0.0
103573,77000,4,26123,77000.0,231000.0,77000.0,77000.0,231000.0,77000.0,2.0,0.0
103571,140296,12,26123,420887.143,1823844.286,140295.714,1823844.286,841774.286,140295.714,1.312,0.0
103570,60823,17,26123,486584.615,1094815.385,425761.538,425761.538,243292.308,486584.615,1.529,0.0
103554,29553,10,26123,88660.0,236426.667,384193.333,29553.333,29553.333,29553.333,3.0,0.0
103761,115320,7,26123,115320.0,345960.0,230640.0,115320.0,461280.0,576600.0,2.0,0.0
103775,43000,1,26123,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0,1.0,0.0
103776,65333,2,26123,65333.333,65333.333,65333.333,65333.333,130666.667,65333.333,1.0,0.0
103964,40360,3,26123,40360.0,201800.0,80720.0,40360.0,40360.0,201800.0,5.0,0.0
103993,45000,1,26123,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,1.0,0.0
103988,313000,1,26123,313000.0,626000.0,626000.0,626000.0,313000.0,313000.0,2.0,0.0
103980,237191,35,26123,237191.043,10673596.915,2371910.426,4032247.723,2134719.383,2609101.468,3.133,0.0
103977,82753,40,26123,331012.842,4799686.211,993038.526,1986077.053,1572311.0,1737817.421,2.111,0.0
103974,217501,23,26123,870004.898,6307535.51,2827515.918,2392513.469,2827515.918,2610014.694,2.722,0.0
103966,95450,7,26123,95450.0,477250.0,190900.0,95450.0,763600.0,190900.0,2.0,0.0
103962,130388,50,26123,391162.921,9648685.393,1695039.326,4042016.854,3259691.011,2607752.809,2.697,0.0
104000,71000,1,26123,71000.0,71000.0,142000.0,71000.0,71000.0,71000.0,1.0,0.0
103958,151027,14,26123,151026.667,1359240.0,453080.0,604106.667,604106.667,604106.667,1.5,0.0
103953,106522,9,26123,106522.118,1597831.765,958699.059,213044.235,532610.588,106522.118,1.545,0.0
103950,47538,17,26123,47538.182,665534.545,142614.545,427843.636,427843.636,47538.182,2.2,0.0
103947,198245,18,26123,594736.452,2180700.323,396490.968,2378945.806,1982454.839,1387718.387,1.55,0.0
103941,148250,3,26123,148250.0,593000.0,593000.0,148250.0,148250.0,148250.0,1.0,0.0
103936,189232,16,26123,189231.579,2460010.526,378463.158,189231.579,1135389.474,2460010.526,3.167,0.0
103994,76165,56,26123,609317.479,5103033.885,1523293.697,4798375.145,2284940.545,3960563.612,2.391,0.0
104005,99300,11,26123,99300.0,496500.0,99300.0,198600.0,595800.0,496500.0,1.4,0.0
