사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,1호선,1,서울역,445,8,6832,4781,8835,24937,27116,66431,43277,145325,31927,91672,29589,44874,35644,36552,43336,38972,44588,39053,40502,37105,50240,38482,58078,39890,93883,45769,144127,50873,72171,34653,49654,23324,51601,22013,20790,8189,6527,3751,32,398,0,2,0,0,0,0
2021-01,1호선,10,동묘앞,78,2,2391,738,2761,3527,4457,5734,6977,14687,5588,13409,6386,14013,9706,19323,14318,23997,19975,27026,25755,26641,28426,21195,27605,14522,23169,10057,16419,7615,6999,5208,4789,3885,4265,4664,1982,2495,517,1502,1,704,0,8,0,0,0,0
2021-01,1호선,2,시청,18,1,1489,2990,2235,14570,4971,47793,6119,131340,6335,62133,7012,23760,10198,19942,11459,17031,13648,17361,18213,15206,24043,12769,27737,10571,55134,10643,108895,9871,41170,4716,34710,3216,33243,3675,9286,1306,2254,629,4,48,0,1,0,0,0,0
2021-01,1호선,3,종각,113,1,1852,3464,2578,18288,4413,77560,6631,165202,7997,100421,10911,42055,16566,33259,20303,30355,24807,32406,31147,27866,41132,24197,47952,23353,94486,22887,153681,23132,69054,10706,65480,4650,66880,3814,13805,1626,3108,785,10,100,1,1,0,0,0,0
2021-01,1호선,4,종로3가,109,4,2187,2427,2374,8473,3297,18316,5367,52803,7144,54311,13136,42285,21589,40904,27183,40138,33818,41532,38643,39874,42923,32894,45809,25998,56011,20659,79064,17711,43768,7957,35106,3901,33741,4108,8128,1572,2142,1104,7,194,0,3,0,0,0,0
2021-01,1호선,5,종로5가,157,4,1170,2806,1933,11097,3473,30990,5745,86177,7670,51639,12690,38927,19495,35761,24775,34242,29465,34614,36459,34545,41052,28364,46796,22094,61473,17184,82698,13074,38369,6821,26177,3731,20639,4041,5426,2073,1449,1181,3,159,0,0,0,0,0,0
2021-01,1호선,6,동대문,542,15,11232,1512,6920,4611,10340,7951,14857,17036,13070,16659,11682,14967,13016,16227,15784,17886,16952,17782,19355,17424,20306,16095,20926,14624,20108,14745,19005,15122,12907,15188,11741,10244,9187,10156,4139,6416,1426,6405,6,999,0,2,0,0,0,0
2021-01,1호선,7,신설동,279,3,6413,2235,6769,7410,13739,18243,19137,48070,12766,28106,11310,16316,12868,15035,14144,15547,16963,16126,17564,15538,18799,15573,22733,15417,33392,16980,48075,21175,17757,15251,13613,10184,10978,11633,3813,5699,1156,2747,9,194,0,0,1,0,0,0
2021-01,1호선,8,제기동,271,3,3964,1561,6349,5866,15914,15109,24375,32855,16498,27133,18389,30132,25596,35839,32622,36962,37045,40011,40870,41860,42216,34951,35715,25003,33310,18808,30408,21250,12792,15650,9330,10291,8422,11266,4617,5465,1601,2380,5,189,0,0,0,0,0,0
2021-01,1호선,9,청량리(서울시립대입구),860,16,8101,3523,11290,14457,28669,12303,36183,28638,24516,23842,22908,27766,26819,32216,31821,34555,35026,36799,39781,41860,43135,38632,43645,33122,39305,31091,33065,38281,17157,26198,14256,15871,10439,18652,3632,8591,1009,3651,11,438,0,0,0,0,0,0
2021-01,2호선,11,시청,12,1,830,1241,1438,10200,4133,55307,5609,170817,6782,71767,8528,19791,12957,14372,12403,14342,15432,14847,20107,14073,23855,12361,27210,10141,64690,10422,138358,9718,48353,4458,33310,2639,32628,3513,8700,1310,1767,724,9,47,0,0,0,0,0,0
2021-01,2호선,12,을지로입구,38,3,1350,1524,2530,20876,6057,96915,9537,236987,10076,123639,11928,51604,18000,41545,22386,33687,29648,33180,35485,30294,45779,26356,53768,24456,116958,25338,197433,25629,86998,12932,88078,7796,54037,8637,13739,3095,2783,1302,6,614,0,0,0,0,0,0
2021-01,2호선,13,을지로3가,6,0,748,1401,1666,14077,3943,54464,6519,125335,7272,57003,7942,24295,10560,17598,12023,16012,14508,17561,18556,16011,22100,14105,28616,13099,59420,13296,107331,13342,44910,6012,32984,3474,34558,4246,9704,1617,2108,700,0,71,0,0,0,0,0,0
2021-01,2호선,14,을지로4가,5,0,847,983,1115,10536,2485,25329,4406,63837,5198,38119,6803,21753,9710,17836,12515,15903,13552,15534,17509,15692,19990,12765,24140,10015,42010,8517,58605,6581,26975,3987,14604,2146,12474,2816,4176,1128,1164,562,0,43,0,0,0,0,0,0
2021-01,2호선,15,동대문역사문화공원(DDP),345,3,6154,770,3699,5698,5189,13837,7526,37533,7598,24028,6887,18541,9002,18850,11153,16274,11999,18030,14833,17873,17648,15567,21626,13337,28326,13273,32479,14756,20046,17449,17718,10229,15197,9159,6025,4741,2249,3634,1,185,0,0,0,0,0,0
2021-01,2호선,16,신당,36,0,4921,924,8887,6434,20250,12748,34119,28184,20480,19881,13876,14840,13543,14996,15468,16163,16793,16849,17807,17865,19267,18757,20483,20496,24557,24699,27929,36132,16908,24661,14257,15380,12441,19285,5003,8111,1529,3789,2,50,0,0,0,0,0,0
2021-01,2호선,17,상왕십리,46,2,4600,339,10226,4503,29794,9515,47721,28928,25664,16250,15686,10908,14109,10200,14765,11218,15139,12077,14654,12594,14873,14358,15447,17312,19573,25367,23646,41112,13297,28865,9829,18480,9608,23122,3926,9160,1139,4306,0,32,0,0,0,0,0,0
2021-01,2호선,18,왕십리(성동구청),700,1,5109,591,7535,4398,19635,8414,35930,22413,21705,14980,13751,11144,13866,11199,15494,13491,17102,14385,17021,14785,18200,16692,20059,18833,26229,24752,29287,38899,17909,23291,21614,14068,24635,18466,7332,7594,2731,3911,7,81,0,0,0,0,0,0
2021-01,2호선,19,한양대,1,0,666,194,1788,5062,3863,7490,6573,18090,4288,27298,3766,12410,4501,7439,5259,8115,5542,8905,6560,8083,7454,5753,13694,5182,21768,5354,21008,6705,9646,4367,7136,3406,7797,4528,5121,1861,1938,969,0,12,0,0,0,0,0,0
2021-01,2호선,20,뚝섬,10,0,2833,1895,6441,10928,14571,28378,21655,113554,13285,69541,10460,26549,10687,17041,13139,17703,16053,19736,17961,18392,20378,18090,25542,18553,45036,21724,100514,29088,48622,18587,29624,11345,27154,12854,8235,5566,1886,3022,1,50,0,0,0,0,0,0
