날짜,역번호,역명,구분,03~04시,04~05시,05~06시,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~00시,00~01시,01~02시,02~03시
2020-12-01,1101,판암,승차,0,0,80,148,415,563,275,166,180,196,216,206,167,204,204,270,79,72,50,28,12,0,0,0
2020-12-01,1101,판암,하차,0,0,10,43,145,237,88,123,123,161,168,181,213,251,278,460,203,148,131,137,55,15,0,0
2020-12-01,1102,신흥,승차,0,1,50,66,221,297,123,85,57,76,81,79,77,54,71,113,34,16,16,9,5,0,0,0
2020-12-01,1102,신흥,하차,0,0,7,14,37,70,49,47,49,63,50,68,118,126,125,206,94,61,65,56,32,2,0,0
2020-12-01,1103,대동,승차,0,0,73,130,323,608,247,156,152,191,230,191,204,232,278,341,117,91,85,57,32,0,0,0
2020-12-01,1103,대동,하차,0,0,16,39,116,329,161,111,125,158,178,161,198,205,267,462,199,159,161,141,84,12,0,0
2020-12-01,1104,대전,승차,0,0,25,77,319,514,353,362,362,416,436,550,546,505,590,710,385,281,187,115,71,1,0,0
2020-12-01,1104,대전,하차,0,0,72,224,488,735,460,413,507,494,494,510,420,419,369,448,221,134,118,66,29,1,0,0
2020-12-01,1105,중앙로,승차,0,0,19,36,119,241,121,94,117,151,211,227,283,336,408,556,229,221,214,151,50,2,0,0
2020-12-01,1105,중앙로,하차,0,0,17,54,127,517,274,200,245,252,246,257,265,236,315,561,229,125,68,60,55,6,0,0
2020-12-01,1106,중구청,승차,0,0,16,38,95,189,77,83,99,79,91,116,125,138,189,342,86,59,75,36,8,0,0,0
2020-12-01,1106,중구청,하차,0,0,10,60,112,545,163,102,89,116,124,87,100,74,105,173,52,48,38,31,22,1,0,0
2020-12-01,1107,서대전네거리,승차,0,0,83,128,384,700,252,228,226,246,268,301,340,309,335,469,171,175,124,100,63,0,0,0
2020-12-01,1107,서대전네거리,하차,0,0,24,58,169,518,320,246,256,273,273,274,299,377,428,723,294,194,189,140,75,9,0,0
2020-12-01,1108,오룡,승차,0,0,57,100,295,606,217,178,204,150,179,162,178,162,245,595,126,82,41,31,13,0,0,0
2020-12-01,1108,오룡,하차,0,0,13,48,137,725,179,112,134,126,143,156,167,210,233,433,151,134,141,72,55,1,0,0
2020-12-01,1109,용문,승차,0,0,92,151,399,965,319,206,246,273,303,246,235,324,315,320,169,120,106,63,53,0,0,0
2020-12-01,1109,용문,하차,0,0,25,56,107,403,339,221,201,196,244,308,312,349,395,895,322,201,180,139,104,0,0,0
2020-12-01,1110,탄방,승차,0,0,29,83,227,409,147,169,197,146,199,164,228,196,327,685,153,147,147,121,36,0,0,0
2020-12-01,1110,탄방,하차,0,0,32,62,191,944,299,201,144,141,250,181,193,208,233,531,198,133,99,60,45,0,0,0
2020-12-01,1111,시청,승차,0,1,21,78,158,309,187,184,252,227,243,277,371,385,563,1112,337,299,397,304,99,0,0,0
2020-12-01,1111,시청,하차,0,0,36,131,360,1376,549,301,223,204,297,343,336,387,390,579,288,145,118,79,50,1,0,0
2020-12-01,1112,정부청사,승차,0,0,17,69,187,319,174,189,207,187,207,240,276,344,661,1351,324,238,211,115,57,0,0,0
2020-12-01,1112,정부청사,하차,0,0,68,138,427,1984,521,231,168,197,243,246,227,208,241,435,208,104,101,67,42,11,0,0
2020-12-01,1113,갈마,승차,0,0,43,92,252,386,181,127,110,114,154,101,131,116,114,167,64,54,40,32,24,0,0,0
