일자,구,동,일반_승차인원,일반_하차인원,일반_환승인원,청소년_승차인원,청소년_하차인원,청소년_환승인원,어린이_승차인원,어린이_하차인원,어린이_환승인원,위도,경도
2021년 01월,대덕구,갈전동,65,38,0,-,-,-,-,-,-,36.42792038,127.4677857
2021년 01월,대덕구,대화동,27457,22941,2071,897,573,51,55,44,2,36.36659075,127.4114867
2021년 01월,대덕구,덕암동,15496,14654,581,1755,1183,63,221,189,1,36.44022323,127.4269782
2021년 01월,대덕구,목상동,17948,21732,5121,1524,1362,190,90,75,2,36.44847969,127.4121842
2021년 01월,대덕구,문평동,10481,11764,5298,480,371,308,28,20,27,36.4475053,127.3995481
2021년 01월,대덕구,미호동,755,618,1,50,19,0,-,-,-,36.46434273,127.4731786
2021년 01월,대덕구,법동,90723,70975,10391,7479,4426,628,569,410,24,36.37462691,127.436358
2021년 01월,대덕구,비래동,51008,63653,3790,5851,4477,382,425,383,32,36.35878756,127.4568112
2021년 01월,대덕구,삼정동,242,143,2,-,-,-,-,-,-,36.44417571,127.4660437
2021년 01월,대덕구,상서동,20802,17471,2410,1423,613,90,158,44,8,36.42459874,127.4209202
2021년 01월,대덕구,석봉동,49595,30916,7375,5468,2651,335,370,342,16,36.45023483,127.4239714
2021년 01월,대덕구,송촌동,83963,54127,4320,12110,7579,468,713,533,20,36.36446083,127.4420256
2021년 01월,대덕구,신대동,25970,11527,6092,1995,675,499,263,26,26,36.39291292,127.4162147
2021년 01월,대덕구,신일동,29229,25967,6669,954,773,362,36,39,22,36.43626485,127.4063283
2021년 01월,대덕구,신탄진동,67630,57562,8888,5121,3039,339,323,259,17,36.44769044,127.43355
2021년 01월,대덕구,연축동,2589,6699,257,91,219,17,7,32,0,36.39099286,127.4284163
2021년 01월,대덕구,오정동,162790,153678,53788,9698,6984,2219,650,561,123,36.35284171,127.41449
2021년 01월,대덕구,와동,12893,17147,5705,856,945,415,70,150,2,36.40903028,127.4270782
2021년 01월,대덕구,용호동,200,180,6,13,2,1,-,-,-,36.43564284,127.4518198
2021년 01월,대덕구,읍내동,49966,41815,16721,3743,2449,843,333,271,32,36.38073047,127.4275525
2021년 01월,대덕구,이현동,209,173,0,-,-,-,-,-,-,36.4130237,127.4638646
2021년 01월,대덕구,장동,1697,1367,4,77,14,0,19,38,0,36.40311421,127.4455639
2021년 01월,대덕구,중리동,115871,97447,20465,9280,5844,1258,465,392,79,36.36145694,127.4261217
2021년 01월,대덕구,평촌동,7821,5728,270,1277,506,48,110,66,1,36.43173518,127.4334325
2021년 01월,대덕구,합계,845400,728322,160225,70142,44704,8516,4905,3874,434,,
2021년 01월,동구,가양동,127275,98344,16483,9846,6011,1143,475,460,41,36.34696456,127.4485204
2021년 01월,동구,가오동,47420,45960,3099,9447,6284,374,827,752,25,36.30761931,127.458657
2021년 01월,동구,구도동,3102,3440,131,145,135,9,6,5,0,36.26703627,127.4728946
2021년 01월,동구,낭월동,41562,33861,5011,6238,3418,432,951,728,49,36.28307256,127.4833227
2021년 01월,동구,내탑동,139,215,0,4,10,0,-,-,-,36.40230548,127.5127634
2021년 01월,동구,대동,74633,70672,35705,10510,7234,3373,461,441,169,36.32940445,127.4450981
2021년 01월,동구,대별동,292,389,118,11,22,8,1,2,1,36.28141469,127.45604
2021년 01월,동구,대성동,25523,16150,1622,4522,2072,138,271,225,21,36.29521549,127.4687592
2021년 01월,동구,마산동,169,176,7,6,6,0,-,-,-,36.38821756,127.4902301
2021년 01월,동구,비룡동,449,1392,52,53,89,4,2,8,1,36.34266328,127.4741635
2021년 01월,동구,사성동,41,51,0,2,0,0,-,-,-,36.38566515,127.5157031
2021년 01월,동구,삼괴동,1344,1230,21,94,74,0,23,32,0,36.24608554,127.4794179
2021년 01월,동구,삼성동,67794,71372,18942,5203,4579,961,336,254,32,36.33994184,127.4232808
2021년 01월,동구,삼정동,5347,3989,868,306,104,51,40,62,14,36.32049818,127.4758076
2021년 01월,동구,상소동,3147,3353,1,72,56,0,77,53,0,36.22917309,127.4577265
2021년 01월,동구,성남동,121656,153094,39586,9483,8682,2413,485,425,95,36.3436682,127.433992
2021년 01월,동구,세천동,2315,2279,177,118,168,3,10,1,0,36.32626897,127.4915796
2021년 01월,동구,소제동,17613,17232,3116,2031,1415,330,45,33,4,36.33466183,127.4382106
2021년 01월,동구,소호동,326,255,6,6,13,0,-,-,-,36.2605988,127.4549213
2021년 01월,동구,신상동,633,447,25,1,1,1,-,-,-,36.35486148,127.5145783
2021년 01월,동구,신안동,16798,15367,5321,1421,1119,524,138,132,14,36.32965957,127.4384732
2021년 01월,동구,신촌동,68,53,0,18,20,0,-,-,-,36.37665104,127.5109098
2021년 01월,동구,신하동,648,554,16,13,32,0,3,2,0,36.36385296,127.4995119
2021년 01월,동구,신흥동,14191,11933,2063,1559,920,111,95,73,20,36.32389968,127.4430657
