CODE,POPULATION
11110,149125
11140,125038
11170,230045
11200,293103
11215,346067
11230,342034
11260,394532
11290,437684
11305,307487
11320,324281
11350,521852
11380,479223
11410,311720
11440,371492
11470,453382
11500,579176
11530,403518
11545,231634
11560,380169
11590,390433
11620,494175
11650,424707
11680,538536
11710,667222
11740,461334
26110,41549
26140,107978
26170,88763
26200,113048
26230,359978
26260,270695
26290,267351
26320,283452
26350,401710
26380,311052
26410,231959
26440,138610
26470,208900
26500,176742
26530,212173
26710,175428
27110,76382
27140,341498
27170,170383
27200,146428
27230,439906
27260,424112
27290,557404
27710,259700
28110,139762
28114,0
28118,0
28140,62485
28177,404843
28185,388409
28200,524800
28237,494487
28245,296200
28260,541823
28265,0
28710,69245
28720,20398
29110,102877
29140,296036
29155,214532
29170,430516
29200,405154
30110,223727
30140,235164
30170,477326
30200,350875
30230,176199
31110,217191
31140,319780
31170,156596
31200,219175
31710,222628
36110,357871
41110,1185741
41111,273324
41113,368686
41115,175098
41117,368633
41130,939774
41131,241568
41133,216142
41135,482064
41150,462499
41170,549730
41171,239070
41173,310660
41190,817449
41210,297748
41220,540929
41222,0
41224,0
41250,94443
41270,655733
41271,352897
41273,302836
41280,1081175
41281,478147
41285,300665
41287,302363
41290,64549
41310,197217
41360,714822
41362,0
41370,230042
41390,504935
41410,273542
41430,163585
41450,295122
41460,1075045
41461,257773
41463,440940
41465,376332
41480,466539
41500,218651
41550,187232
41570,477332
41590,857550
41592,0
41594,0
41610,382578
41630,231241
41650,147393
41670,112044
41800,43438
41820,62399
41830,119022
42110,282693
42130,354664
42150,213412
42170,90416
42190,42586
42210,82652
42230,64946
42720,69142
42730,46441
42750,38565
42760,41587
42770,36783
42780,44563
42790,24732
42800,22161
42810,31720
42820,26687
42830,27946
43110,845710
43112,194154
43114,193997
43111,191363
43113,266196
43130,210139
43150,132759
43720,32364
43730,50468
43740,47230
43745,36807
43750,83849
43760,38338
43770,92945
43800,29049
44270,166189
44130,658488
44131,257683
44133,400805
44150,104442
44180,99964
44200,316740
44210,175543
44230,116587
44250,42809
44710,51262
44760,65202
44770,51742
44790,30840
44800,99850
44810,78129
44825,62050
45110,657661
45111,339406
45113,318255
45118,0
45130,267798
45140,281539
45145,0
45180,108470
45190,80570
45210,82326
45710,91450
45720,25344
45730,24046
45740,22081
45750,27248
45770,27665
45790,54512
45800,52038
46110,223362
46130,280497
46150,282618
46170,115855
46230,151045
46710,46475
46720,27982
46730,25573
46770,63869
46780,40430
46790,62455
46800,37689
46810,34568
46820,68736
46830,53687
46840,86940
46860,31992
46870,53048
46880,44330
46890,49811
46900,30845
46910,38768
47110,502736
47111,230381
47113,272355
47130,253475
47150,140511
47170,158675
47190,415949
47210,103043
47230,101799
47250,97159
47280,70919
47290,264150
47720,23216
47730,51601
47750,25030
47760,16638
47770,36245
47820,42245
47830,31310
47840,43335
47850,114777
47900,55709
47920,31407
47930,48675
47940,9035
48120,1036203
48121,261845
48123,214067
48125,176636
48127,190739
48129,192916
48170,348022
48220,128084
48240,111005
48245,0
48250,542296
48252,0
48270,104687
48310,245492
48330,352421
48332,0
48720,26778
48730,64036
48740,61305
48820,51372
48840,42855
48850,44673
48860,34809
48870,39013
48880,61474
48890,43871
50110,492346
50130,182269
